 0:06:04.846 00:39:46.906  2022.06 Penumbra Shade
 7:21:06.556 07:34:22.179  795.622       Svalbard
 7:26:10.653 07:26:49.911   39.259           Land
 7:26:11.222 07:26:56.068   44.846           Land
 7:26:15.156 07:26:56.557   41.401           Land
 7:26:16.210 07:26:38.910     22.7           Land
 7:26:26.303 07:26:48.889   22.587           Land
 7:26:28.793 07:26:56.562   27.769           Land
 7:26:35.414 07:26:57.813   22.399           Land
 7:26:36.057 07:26:58.213   22.156           Land
 7:26:37.120 07:26:59.802   22.682           Land
 7:26:47.847 07:27:09.592   21.745           Land
 7:26:58.664 07:27:20.318   21.655           Land
 7:27:08.713 07:27:32.466   23.754           Land
 7:27:12.403 07:27:35.390   22.987           Land
 7:27:23.228 07:27:45.145   21.917           Land
 7:27:41.762 07:28:05.215   23.453           Land
 7:27:45.305 07:28:07.383   22.078           Land
 7:27:50.323 07:28:16.247   25.923           Land
 7:27:52.009 07:27:55.816    3.807           Land
 7:28:05.429 07:28:28.304   22.876           Land
 7:28:07.102 07:28:29.753   22.651           Land
 7:28:09.079 07:28:31.539    22.46           Land
 7:28:16.082 07:35:46.093  450.011           Land
 7:28:21.240 07:28:43.253   22.013           Land
 7:28:30.731 07:28:57.343   26.612           Land
 7:28:32.137 07:28:54.017    21.88           Land
 7:28:32.433 07:28:57.451   25.018           Land
 7:28:36.214 07:28:58.692   22.477           Land
 7:28:40.690 07:29:09.135   28.445           Land
 7:28:42.174 07:29:07.019   24.845           Land
 7:28:44.966 07:29:15.561   30.594           Land
 7:28:45.783 07:29:08.927   23.144           Land
 7:29:52.304 07:30:15.823   23.519           Land
 7:29:55.129 07:30:17.275   22.147           Land
 7:30:02.715 07:30:25.106   22.391           Land
 7:30:26.626  7:35:09.660  283.034 Process_images
 7:35:11.180 07:38:10.122  178.943           Land
 7:35:54.428 07:41:44.674  350.247         Matera
 7:36:36.237 07:36:59.440   23.203           Land
 7:37:04.199 07:37:29.317   25.117           Land
 7:37:51.349 07:38:06.470   15.121           Land
 7:38:03.884 07:39:17.325   73.441           Land
 7:38:39.217 07:41:34.721  175.503           Land
 7:40:30.629 07:41:55.847   85.219           Land
 7:41:14.130 07:42:00.042   45.912           Land
 7:41:14.510 07:41:41.561   27.051           Land
 7:41:32.452 07:45:30.372   237.92           Land
 7:44:48.720 07:46:29.177  100.457           Land
 7:45:25.066 07:45:48.913   23.848           Land
 7:45:47.465 07:46:10.648   23.183           Land
 7:45:52.702 07:46:36.051   43.349           Land
 7:46:02.613 07:49:09.953  187.341           Land
 7:46:08.745 07:47:00.978   52.233           Land
 7:46:28.613 07:47:21.860   53.247           Land
 7:48:29.348 07:50:17.942  108.594           Land
 7:48:31.824 07:51:22.533  170.709           Land
 7:50:50.042 07:53:24.884  154.842           Land
 7:51:04.108 07:51:34.197   30.089           Land
 7:51:18.765 07:51:51.219   32.453           Land
 7:51:53.243 07:52:11.145   17.902           Land
