828 77999811 77999811       0 1
829 77999811 78003359    3548 1
830 78003359 78025447   22088 1
831 78025447 78028308    2861 1
832 78060781 78067117    6336 1
833 78067117 78088938   21821 1
834 78088938 78103546   14608 1
835 78103546 78109733    6187 1
836 78109733 78133242   23509 1
837 78133242 78151498   18256 1
838 78151498 78176122   24624 1
839 78176122 78201852   25730 1
840 78203372 78332427  129055 2
841 78333947 78525922  191975 1
842 78525922 78548365   22443 1
843 78548365 78550844    2479 1
844 78550844 78550844       0 1
845 78550844 78570746   19902 1
846 78570746 78580273    9527 1
847 78580273 78580273       0 1
848 78580273 78580273       0 1
849 78580273 78586973    6700 1
850 78586973 78595401    8428 1
851 78595401 78607461   12060 1
852 78607461 78631958   24497 1
853 78631958 78631958       0 1
854 78631958 78633110    1152 1
855 78634630 79256549  621919 2
856 79258069 79278860   20791 1
857 79280380 79761357  480977 2
858 79762877 79784505   21628 1
859 79784505 79806573   22068 1
860 79808093 80158420  350327 2
861 80159940 80163800    3860 1
862 80163800 80239097   75297 1
863 80239097 80246705    7608 1
864 80246705 80260470   13765 1
865 80261990 80436974  174984 2
866 80438494 80462091   23597 1
867 80463611 80672419  208808 2
868 80673939 80678660    4721 1
869 80678660 80702972   24312 1
870 80729471 80734562    5091 1
871 80734562 80757814   23252 1
872 80757814 80758392     578 1
873 80759912 81901758 1141846 2
874 82608122 82734719  126597 4
875 82734719 82734719       0 2
876 82734719 82734719       0 2
877 82734719 82736324    1605 2
878 82736324 82824410   88086 2
879 82824410 83025305  200895 2
880 83025305 83030631    5326 2
881 83030631 83061204   30573 2
882 83061204 83061204       0 2
883 83061204 83064221    3017 2
884 83064221 83419411  355190 4
885 83500470 83749451  248981 4
886 83749451 83749451       0 2
887 83749451 83749452       1 2
888 83749452 83753632    4180 2
889 83755152 83872624  117472 2
890 83874144 84005216  131072 4
891 84005216 84005217       1 1
892 84005217 84048019   42802 1
893 84048019 84048019       0 1
894 84048019 84054096    6077 1
895 84054096 84078275   24179 1
896 84079795 84426502  346707 2
897 84428022 84473120   45098 1
898 84473120 84473120       0 1
899 84473120 84476462    3342 1
900 84517425 84548572   31147 1
901 84550092 84692354  142262 2
902 84693874 84697175    3301 1
903 84697175 84720880   23705 1
904 84722400 85252841  530441 2
905 85254362 85272992   18630 1
906 85274512 85393387  118875 2
907 85394907 85415706   20799 1
908 85490795 85513372   22577 1
909 85514892 85711214  196322 2
910 85712734 85723571   10837 1
911 85723571 85723571       0 1
912 85723571 85725861    2290 1
913 85725861 85739924   14063 1
914 85739924 85739924       0 1
915 85739924 85739924       0 1
916 85739924 85739924       0 1
917 85739924 85739924       0 1
918 85739924 85739925       1 1
919 85739925 85766984   27059 1
920 85768504 86041087  272583 2
921 86042607 86043091     484 1
922 86043091 86069677   26586 1
923 86069677 86075727    6050 1
924 86077247 86221014  143767 2
925 86222535 86245053   22518 1
926 86301723 86334429   32706 1
927 86334429 86334430       1 1
